date,age_grp,gender,card_cnt
10/28/2016,0_19,M,1
10/28/2016,20_39,F,1
10/28/2016,20_39,M,1
10/28/2016,66_abv,F,4
10/28/2016,66_abv,M,1
10/29/2016,40_65,F,1
10/29/2016,66_abv,F,1
10/30/2016,66_abv,F,2
10/30/2016,66_abv,M,1
10/31/2016,20_39,F,1
10/31/2016,40_65,F,1
10/31/2016,40_65,M,1
10/31/2016,66_abv,M,1
11/1/2016,66_abv,F,1
11/1/2016,66_abv,M,2
11/2/2016,20_39,M,1
11/2/2016,40_65,F,2
11/2/2016,66_abv,F,1
11/3/2016,40_65,F,1
11/3/2016,66_abv,F,1
11/4/2016,40_65,F,1
11/4/2016,40_65,M,1
11/4/2016,66_abv,F,1
11/5/2016,20_39,F,2
11/5/2016,40_65,F,2
11/5/2016,66_abv,M,1
11/6/2016,40_65,M,1
11/6/2016,66_abv,M,2
11/7/2016,40_65,F,2
11/7/2016,40_65,M,2
11/7/2016,66_abv,F,1
11/8/2016,20_39,F,1
11/8/2016,40_65,F,1
11/8/2016,40_65,M,1
11/9/2016,40_65,F,2
11/9/2016,40_65,M,2
11/9/2016,66_abv,F,2
11/10/2016,40_65,M,1
11/11/2016,0_19,F,1
11/11/2016,40_65,F,2
11/11/2016,66_abv,F,1
11/11/2016,66_abv,M,1
11/12/2016,20_39,F,2
11/12/2016,40_65,F,2
11/12/2016,40_65,M,1
11/12/2016,66_abv,F,1
11/13/2016,40_65,F,1
11/13/2016,40_65,M,1
11/13/2016,66_abv,F,1
11/14/2016,20_39,M,1
11/14/2016,66_abv,M,1
11/15/2016,40_65,F,3
11/15/2016,40_65,M,1
11/15/2016,66_abv,F,2
11/16/2016,20_39,M,1
11/16/2016,40_65,M,1
11/16/2016,66_abv,F,1
11/16/2016,66_abv,M,2
11/17/2016,20_39,F,2
11/17/2016,40_65,M,1
11/18/2016,20_39,F,1
11/18/2016,40_65,F,1
11/19/2016,20_39,F,1
11/19/2016,66_abv,F,1
11/20/2016,20_39,F,1
11/20/2016,20_39,M,1
11/20/2016,40_65,F,1
11/20/2016,40_65,M,1
11/20/2016,66_abv,F,1
11/21/2016,66_abv,F,1
11/22/2016,66_abv,M,1
11/23/2016,20_39,F,1
11/23/2016,40_65,F,1
11/23/2016,40_65,M,1
11/25/2016,20_39,F,1
11/25/2016,40_65,F,1
11/25/2016,40_65,M,1
11/25/2016,66_abv,F,3
11/28/2016,40_65,F,1
11/28/2016,40_65,M,1
11/28/2016,66_abv,F,2
11/28/2016,66_abv,M,1
11/29/2016,20_39,M,1
11/29/2016,40_65,F,1
11/29/2016,40_65,M,1
11/30/2016,20_39,F,2
11/30/2016,40_65,F,1
11/30/2016,66_abv,F,1
11/30/2016,66_abv,M,1
12/1/2016,20_39,M,1
12/1/2016,40_65,M,3
12/1/2016,66_abv,F,1
12/2/2016,20_39,F,1
12/2/2016,40_65,M,2
12/2/2016,66_abv,F,1
12/2/2016,66_abv,M,1
12/3/2016,40_65,M,1
12/4/2016,20_39,M,1
12/5/2016,20_39,F,1
12/5/2016,40_65,F,1
12/5/2016,40_65,M,1
12/5/2016,66_abv,F,1
12/6/2016,40_65,F,1
12/6/2016,66_abv,F,2
12/7/2016,40_65,F,1
12/7/2016,66_abv,F,2
12/8/2016,40_65,M,1
12/9/2016,40_65,F,1
12/9/2016,66_abv,M,1
12/10/2016,40_65,F,1
12/10/2016,40_65,M,1
12/10/2016,66_abv,M,1
12/11/2016,40_65,F,2
12/12/2016,20_39,F,1
12/12/2016,40_65,M,2
12/12/2016,66_abv,F,2
12/13/2016,40_65,M,2
12/13/2016,66_abv,M,1
